Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Kiel IV Initial Pressure,Kiel IV Acid Temperature,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2,Collector Status,Cycles Total,d13C Cycles Used,d18O Cycles Used,d13C Cycles Excluded,d18O Cycles Excluded,1  Cycle Int  Ref  44,1  Cycle Int  Diff Samp-Ref  44,1  Cycle Int  Pressure-Weighted Mismatch Samp-Ref  44
11.0,GIRMS\IRMS-operator,2026-02-25 19:07:40.450,2026-02-25 20:11:20.217,Running,False,SHP2L,,11.0,1,7.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",62 µbar,73 °C,,5.031 V,9.5226 kV,79 µbar,Carbon Dioxide: 0.0226 kV,"1,263 µbar",4.631 V,5.475 V,801 µbar/min,12.868 V,6.09E-008 mbar,58 %,848 µbar,µ-Volume,,Pre,4.608518993148811,5.007746728867731,5.018758665986381,6.55953681896721,6.6982001581597554,4.700235465361655,-0.8882595234654955,-6.089536919297034,-0.8922746824789737,0.016137656998008936,0.004166725120006412,-6.113020067653404,0.02998209354056485,0.007741343264469376,-0.896225327489956,0.021460356724229333,-6.119952656867919,0.035650845520045917,Natan Pereira BTS coral series 10.xlsx,2026-02-25 19:07:40.450,739672.0,801.0,1263.0,79.0,848.0,4.475277810496501,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,4.501280311981849,-0.02600250148534755,-0.025524468375077224
12.0,GIRMS\IRMS-operator,2026-02-25 19:38:14.030,2026-02-25 20:48:39.419,Running,False,BTS,1068,12.0,2,7.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",49 µbar,72 °C,,33.626 V,9.5229 kV,69 µbar,Carbon Dioxide: 0.0229 kV,"1,048 µbar",16.607 V,41.037 V,357 µbar/min,4.575 V,1.36E-007 mbar,10 %,"1,026 µbar",µ-Volume,30.242 V,Pre,32.7861058848781,35.48302712697427,17.933333542532132,46.7254470893841,23.954774052808784,16.81529463705247,-3.7805345339169127,-4.532274177900919,-3.5390274062813076,0.185362639241689,0.04634065981042225,-4.334005849853176,0.11755606448811734,0.029389016122029335,-3.5229269311056006,0.1799157636601111,-4.320787961316659,0.10868052983128172,Natan Pereira BTS coral series 10.xlsx,2026-02-25 19:38:14.030,739672.0,357.0,1048.0,69.0,1026.0,31.254475130407272,BTS,,1068,OK,16.0,15.0,15.0,0.0,0.0,15.847136391965803,15.407338738441469,30.001756331145614
13.0,GIRMS\IRMS-operator,2026-02-25 20:11:20.322,2026-02-25 21:30:41.768,Running,False,BTS,813,13.0,1,8.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",59 µbar,73 °C,,7.546 V,9.5230 kV,71 µbar,Carbon Dioxide: 0.0230 kV,"1,207 µbar",6.893 V,8.353 V,620 µbar/min,3.338 V,7.53E-008 mbar,39 %,921 µbar,µ-Volume,,Pre,6.76029817107368,7.329223548404811,7.412029301159023,9.642968684145307,9.89315918059001,6.94250957015205,-3.018215350076181,-3.9430765236126986,-3.0391922837636067,0.026350331847387085,0.006803626427464606,-3.952790722144904,0.02343210075968013,0.005858025189920032,-3.047411167351469,0.03658069408737946,-3.9534383353803846,0.02410585805138952,Natan Pereira BTS coral series 10.xlsx,2026-02-25 20:11:20.322,739672.0,620.0,1207.0,71.0,921.0,6.548203220794802,BTS,,813,OK,16.0,15.0,15.0,0.0,0.0,6.6244455941960885,-0.07624237340128648,-0.07440920305733362
14.0,GIRMS\IRMS-operator,2026-02-25 20:48:39.524,2026-02-25 22:01:14.651,Running,False,BTS,1040,14.0,2,8.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",52 µbar,72 °C,,20.809 V,9.5228 kV,71 µbar,Carbon Dioxide: 0.0228 kV,"1,112 µbar",17.396 V,24.267 V,562 µbar/min,6.774 V,1.41E-007 mbar,10 %,"1,002 µbar",µ-Volume,19.033 V,Pre,20.25119474829526,21.954175868528626,18.777039685743592,28.87984625251982,25.083373107034895,17.608354601276826,-1.9645880583292197,-3.838150336272439,-1.9829735367779266,0.023219825613408105,0.005804956403352026,-3.848578252158362,0.014634762286100937,0.0036586905715252343,-1.9841992353411735,0.02349292241513416,-3.849273446550756,0.014872441314602405,Natan Pereira BTS coral series 10.xlsx,2026-02-25 20:48:39.524,739672.0,562.0,1112.0,71.0,1002.0,19.456977757824372,BTS,,1040,OK,16.0,15.0,15.0,0.0,0.0,16.57430342139096,2.8826743364334106,3.341129534845865
15.0,GIRMS\IRMS-operator,2026-02-25 21:30:41.883,2026-02-25 22:34:42.837,Running,False,BTS,1026,15.0,1,9.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",59 µbar,72 °C,,10.759 V,9.5227 kV,71 µbar,Carbon Dioxide: 0.0227 kV,"1,197 µbar",9.847 V,12.130 V,620 µbar/min,16.718 V,9.53E-008 mbar,23 %,951 µbar,µ-Volume,,Pre,9.667777214981937,10.49236133541884,10.597384719513078,13.792804632653546,14.148733768929791,9.929118733159905,-1.7159111840300278,-3.7285751228209874,-1.7850502702345448,0.023297332593533303,0.006015345409720648,-3.754084723070192,0.018186772738376177,0.004546693184594044,-1.785050270234545,0.02329733259353328,-3.7557853630868054,0.01745864130635252,Natan Pereira BTS coral series 10.xlsx,2026-02-25 21:30:41.883,739672.0,620.0,1197.0,71.0,951.0,9.34382597062769,BTS,,1026,OK,16.0,15.0,15.0,0.0,0.0,9.433938717767614,-0.09011274713992456,-0.08812021626273078
16.0,GIRMS\IRMS-operator,2026-02-25 22:01:14.780,2026-02-25 23:11:40.934,Running,False,SHP2L,,16.0,2,9.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",49 µbar,72 °C,,8.946 V,9.5230 kV,67 µbar,Carbon Dioxide: 0.0230 kV,"1,031 µbar",8.922 V,9.931 V,371 µbar/min,9.620 V,8.90E-008 mbar,26 %,899 µbar,µ-Volume,,Pre,8.677536879292152,9.426933569541925,9.615185191770708,12.351820987189365,12.837122004950595,9.007767344652434,-0.8259098001764942,-6.077482477766849,-0.8798760525433255,0.03690474016490211,0.009226185041225528,-6.0859045119980095,0.01637351635821904,0.00409337908955476,-0.8834738027011143,0.035175970097390874,-6.0864659809467545,0.016788008470538206,Natan Pereira BTS coral series 10.xlsx,2026-02-25 22:01:14.780,739672.0,371.0,1031.0,67.0,899.0,8.410231350633875,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,8.568907414189002,-0.1586760635551272,-0.1537628940917176
17.0,GIRMS\IRMS-operator,2026-02-25 22:34:42.966,2026-02-25 23:50:16.702,Running,False,BTS,1035,17.0,1,10.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",59 µbar,72 °C,,35.880 V,9.5231 kV,67 µbar,Carbon Dioxide: 0.0231 kV,"1,100 µbar",17.627 V,44.409 V,606 µbar/min,3.338 V,1.44E-007 mbar,10 %,"1,056 µbar",µ-Volume,31.547 V,Pre,34.55147481813623,37.386097211194,19.027106661152803,48.960789000517764,25.419263994223506,17.842489847089777,-3.8821790785467103,-10.240470312772976,-3.6061712260131924,0.18926494073935948,0.04731623518483987,-4.456554410270524,0.12020931652379173,0.031037912063708095,-3.5877707025109578,0.180487285515508,-4.456554410270523,0.12020931652379153,Natan Pereira BTS coral series 10.xlsx,2026-02-25 22:34:42.966,739672.0,606.0,1100.0,67.0,1056.0,32.8132543648739,BTS,,1035,OK,16.0,15.0,15.0,0.0,0.0,16.79966188326074,16.01359248161316,30.881271298849413
18.0,GIRMS\IRMS-operator,2026-02-25 23:11:41.081,2026-02-26 00:24:13.083,Running,False,BTS,1024,18.0,2,10.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",49 µbar,72 °C,,23.027 V,9.5228 kV,71 µbar,Carbon Dioxide: 0.0228 kV,"1,139 µbar",16.882 V,27.034 V,454 µbar/min,16.924 V,1.41E-007 mbar,10 %,997 µbar,µ-Volume,21.060 V,Pre,22.47154036735866,24.326678205170502,18.211196947731842,32.05214488760032,24.328351500187296,17.075770294421652,-3.4915696547548336,-3.7986394727644868,-3.5210949974282686,0.02475037523664067,0.006390519406926251,-3.7589529988619548,0.025443610929550737,0.006360902732387684,-3.5143655229661492,0.04144433426621416,-3.756307233935119,0.023950309818272907,Natan Pereira BTS coral series 10.xlsx,2026-02-25 23:11:41.081,739672.0,454.0,1139.0,71.0,997.0,21.55489543651912,BTS,,1024,OK,16.0,15.0,15.0,0.0,0.0,16.08460465645168,5.47029078006744,7.237749972709418
19.0,GIRMS\IRMS-operator,2026-02-25 23:50:16.825,2026-02-26 00:57:27.569,Running,False,BTS,1071,19.0,1,11.0,True,Unknown,,"0.002 V, 0.002 V, 0.003 V",57 µbar,72 °C,,3.068 V,9.5229 kV,67 µbar,Carbon Dioxide: 0.0229 kV,"1,124 µbar",3.096 V,3.291 V,518 µbar/min,16.249 V,5.08E-008 mbar,95 %,748 µbar,µ-Volume,2.647 V,Pre,2.8001545066053213,3.040461722524108,3.3767765899114863,3.995586775565049,4.507258070826693,3.16231513223829,-1.6833295966723893,-3.768762461039854,-1.645019085152525,0.024793124583496657,0.006401557240821883,-3.7319824586202683,0.03896850734309846,0.009742126835774615,-1.6465448602374237,0.02783659065435938,-3.7295304584589624,0.03903772471998484,Natan Pereira BTS coral series 10.xlsx,2026-02-25 23:50:16.825,739672.0,518.0,1124.0,67.0,748.0,2.724933588371294,BTS,,1071,OK,16.0,15.0,15.0,0.0,0.0,3.0360279115573094,-0.3110943231860155,-0.275676586698905
20.0,GIRMS\IRMS-operator,2026-02-26 00:24:13.231,2026-02-26 01:34:49.452,Running,False,BTS,1056,20.0,2,11.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",49 µbar,72 °C,,29.574 V,9.5230 kV,96 µbar,Carbon Dioxide: 0.0230 kV,"1,258 µbar",15.998 V,35.610 V,889 µbar/min,3.074 V,1.34E-007 mbar,10 %,"1,019 µbar",µ-Volume,26.470 V,Pre,28.58296801775545,30.932254332351924,17.262525099563835,40.740788939414635,23.064882519660607,16.188316247163716,-3.6879656138110173,-4.5194014535606675,-3.578132426035545,0.09869983606937652,0.02467495901734413,-4.364569381325885,0.08918923112398511,0.022297307780996277,-3.57081021351718,0.09756218292615919,-4.354247243176901,0.08183154107035855,Natan Pereira BTS coral series 10.xlsx,2026-02-26 00:24:13.231,739673.0,889.0,1258.0,96.0,1019.0,27.30558087557405,BTS,,1056,OK,16.0,15.0,15.0,0.0,0.0,15.265681049524249,12.039899826049803,21.262569364446094
21.0,GIRMS\IRMS-operator,2026-02-26 00:57:27.710,2026-02-26 02:13:34.570,Running,False,SHP2L,,21.0,1,12.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.001 V",64 µbar,72 °C,,15.685 V,9.5232 kV,76 µbar,Carbon Dioxide: 0.0232 kV,"1,231 µbar",15.374 V,18.019 V,684 µbar/min,3.332 V,1.30E-007 mbar,13 %,"1,007 µbar",µ-Volume,,Pre,15.037968754768372,16.324831999526396,16.539662040458097,21.400226154051488,22.092250981054967,15.50529897212982,-0.8998731361827828,-6.131215181501171,-1.0271436977456583,0.03834757402798511,0.009901301038522827,-6.169848306190551,0.020885185666554434,0.005221296416638608,-1.0271436977456583,0.03834757402798512,-6.172423847836509,0.018805100296159668,Natan Pereira BTS coral series 10.xlsx,2026-02-26 00:57:27.710,739673.0,684.0,1231.0,76.0,1007.0,14.463335275650023,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,14.626458287239075,-0.16312301158905207,-0.15925832436984289
22.0,GIRMS\IRMS-operator,2026-02-26 01:34:49.582,2026-02-26 02:48:46.255,Running,False,BTS,1015,22.0,2,12.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",54 µbar,72 °C,,13.381 V,9.5227 kV,76 µbar,Carbon Dioxide: 0.0227 kV,"1,151 µbar",12.412 V,15.174 V,498 µbar/min,14.819 V,1.11E-007 mbar,17 %,960 µbar,µ-Volume,,Pre,12.153194790893606,13.166168966778686,13.339366864315624,17.337520741489023,17.813314818408582,12.500823980384876,-3.2790198636671875,-3.7908765574411474,-3.381002134505732,0.028190388095210146,0.007278726907724848,-3.807554089494062,0.017739665739786557,0.00458036199849864,-3.381002134505732,0.028190388095210017,-3.8124975228185365,0.022463135312996402,Natan Pereira BTS coral series 10.xlsx,2026-02-26 01:34:49.582,739673.0,498.0,1151.0,76.0,960.0,11.740611439758352,BTS,,1015,OK,16.0,15.0,15.0,0.0,0.0,11.835576540046743,-0.09496510028839111,-0.09300856897984988
23.0,GIRMS\IRMS-operator,2026-02-26 02:13:34.710,2026-02-26 03:20:44.550,Running,False,BTS,816,23.0,1,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",67 µbar,73 °C,,9.944 V,9.5226 kV,67 µbar,Carbon Dioxide: 0.0226 kV,"1,087 µbar",9.182 V,11.146 V,444 µbar/min,12.070 V,9.16E-008 mbar,25 %,965 µbar,µ-Volume,,Pre,9.007279440018882,9.777862683079432,9.884813312518883,12.849220795095478,13.196447653234513,9.260191016534415,-1.593162796863501,-3.904904891431138,-1.6613850556152978,0.02333105686795059,0.00602405297993272,-3.931649844301728,0.01893302793685247,0.004733256984213117,-1.661385055615298,0.02333105686795057,-3.933432841159767,0.018153934110973123,Natan Pereira BTS coral series 10.xlsx,2026-02-26 02:13:34.710,739673.0,444.0,1087.0,67.0,965.0,8.713303499559014,BTS,,816,OK,16.0,15.0,15.0,0.0,0.0,8.804817555960772,-0.09151405640175803,-0.08941449346233271
24.0,GIRMS\IRMS-operator,2026-02-26 02:48:46.377,2026-02-26 03:57:16.092,Running,False,BTS,1053,24.0,2,13.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",52 µbar,73 °C,,29.260 V,9.5227 kV,86 µbar,Carbon Dioxide: 0.0227 kV,"1,226 µbar",15.750 V,35.179 V,747 µbar/min,8.964 V,1.33E-007 mbar,10 %,"1,021 µbar",µ-Volume,26.580 V,Pre,28.62937454592796,30.993928329774985,17.024074809381617,40.8241171913273,22.74023187924692,15.960496705885841,-3.581906960296699,-4.116222230204136,-3.4061637081495846,0.14807648331085768,0.03701912082771442,-3.964886400750725,0.08456803942999934,0.021142009857499835,-3.3944474913397764,0.14539476727796702,-3.954797345453831,0.07692618473362257,Natan Pereira BTS coral series 10.xlsx,2026-02-26 02:48:46.377,739673.0,747.0,1226.0,86.0,1021.0,27.36550275694938,BTS,,1053,OK,16.0,15.0,15.0,0.0,0.0,15.056830686446142,12.308672070503237,22.08710014283092
25.0,GIRMS\IRMS-operator,2026-02-26 03:20:44.664,2026-02-26 04:40:04.744,Running,False,BTS,333,25.0,1,14.0,True,Unknown,,"0.001 V, 0.001 V, 0.002 V",64 µbar,72 °C,,8.457 V,9.5229 kV,71 µbar,Carbon Dioxide: 0.0229 kV,"1,197 µbar",7.701 V,9.433 V,611 µbar/min,3.343 V,8.14E-008 mbar,34 %,936 µbar,µ-Volume,,Pre,7.542113150133112,8.182502048165606,8.289805309922503,10.761971384892563,11.06620839298735,7.764714366945182,-2.3228655352498517,-3.6892906642140844,-2.355466682404529,0.01930913983464182,0.004827284958660455,-3.7211800738445886,0.027540402561336337,0.006885100640334084,-2.3576400922148406,0.017846473778256485,-3.7233060344866216,0.027114013933563816,Natan Pereira BTS coral series 10.xlsx,2026-02-26 03:20:44.664,739673.0,611.0,1197.0,71.0,936.0,7.300133424276068,BTS,,333,OK,16.0,15.0,15.0,0.0,0.0,7.39861510468676,-0.09848168041069183,-0.09593861572124657
26.0,GIRMS\IRMS-operator,2026-02-26 03:57:16.236,2026-02-26 05:10:40.178,Running,False,SHP2L,,26.0,2,14.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",52 µbar,72 °C,,5.486 V,9.5227 kV,79 µbar,Carbon Dioxide: 0.0227 kV,"1,183 µbar",5.457 V,5.980 V,581 µbar/min,7.560 V,6.75E-008 mbar,49 %,843 µbar,µ-Volume,,Pre,5.299156694504906,5.75847518119427,5.872611888081537,7.54385078046498,7.8389312474981825,5.499865775346825,-0.8436101929757411,-6.079429765527333,-0.8642947105839496,0.01974192655591458,0.005097343518207141,-6.064759781668214,0.027110741242619765,0.006999963289066995,-0.861935876989898,0.02403659634273063,-6.058717736713685,0.03305527354750139,Natan Pereira BTS coral series 10.xlsx,2026-02-26 03:57:16.236,739673.0,581.0,1183.0,79.0,843.0,5.149579123737638,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,5.25797545637168,-0.10839633263404203,-0.10481547441048668
27.0,GIRMS\IRMS-operator,2026-02-26 04:40:04.915,2026-02-26 05:44:08.535,Running,False,BTS,397,27.0,1,15.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",64 µbar,72 °C,,9.379 V,9.5229 kV,71 µbar,Carbon Dioxide: 0.0229 kV,"1,148 µbar",8.596 V,10.476 V,669 µbar/min,5.390 V,8.68E-008 mbar,28 %,958 µbar,µ-Volume,,Pre,8.423711622924248,9.132638499183868,9.223392197622749,12.018997414311247,12.312979463016969,8.640091178264486,-2.9156876016301903,-3.735117770973684,-2.9586619478473923,0.02424823515185481,0.0060620587879637025,-3.736937994036328,0.01807238769093124,0.00451809692273281,-2.961526904261872,0.0221193831579676,-3.7370593422405047,0.018699950076274414,Natan Pereira BTS coral series 10.xlsx,2026-02-26 04:40:04.915,739673.0,669.0,1148.0,71.0,958.0,8.149643076882285,BTS,,397,OK,16.0,15.0,15.0,0.0,0.0,8.222316040024682,-0.0726729631423968,-0.07111724525247921
28.0,GIRMS\IRMS-operator,2026-02-26 05:10:40.364,2026-02-26 06:20:58.244,Running,False,BTS,402,28.0,2,15.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",54 µbar,72 °C,,10.429 V,9.5226 kV,81 µbar,Carbon Dioxide: 0.0226 kV,"1,205 µbar",10.407 V,11.669 V,816 µbar/min,8.411 V,9.86E-008 mbar,22 %,943 µbar,µ-Volume,,Pre,10.128351936385288,10.989099192089286,11.178627061313836,14.446850698590318,14.925490897297898,10.474029073760166,-1.9480758325544079,-3.9630114347989354,-1.9951447313453428,0.030035507777541954,0.0075088769443854885,-3.972571831010476,0.022017716944595166,0.005504429236148791,-1.998282657931405,0.02824484267656877,-3.9732091907579132,0.02263720594878554,Natan Pereira BTS coral series 10.xlsx,2026-02-26 05:10:40.364,739673.0,816.0,1205.0,81.0,943.0,9.803332881965385,BTS,,402,OK,16.0,15.0,15.0,0.0,0.0,9.94339872364725,-0.14006584168186542,-0.1363417188686844
29.0,GIRMS\IRMS-operator,2026-02-26 05:44:08.724,2026-02-26 06:59:44.291,Running,False,BTS,348,29.0,1,16.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",64 µbar,72 °C,,14.793 V,9.5229 kV,79 µbar,Carbon Dioxide: 0.0229 kV,"1,268 µbar",14.500 V,16.995 V,791 µbar/min,3.338 V,1.24E-007 mbar,14 %,999 µbar,µ-Volume,,Pre,14.232966191895642,15.423632399485324,15.593386427805637,20.305313369018826,20.826317569000516,14.616700894959607,-2.761054137730423,-3.651078633885696,-2.866023150085622,0.022844944333926292,0.006105568194105343,-3.6693256775854746,0.012615562714877328,0.003257324286517008,-2.859484683418175,0.03355423541174833,-3.668367431291057,0.014504970400875998,Natan Pereira BTS coral series 10.xlsx,2026-02-26 05:44:08.724,739673.0,791.0,1268.0,79.0,999.0,13.699459917672316,BTS,,348,OK,16.0,15.0,15.0,0.0,0.0,13.803872354157608,-0.1044124364852923,-0.10230865517196858
30.0,GIRMS\IRMS-operator,2026-02-26 06:20:58.366,2026-02-26 07:35:09.631,Running,False,BTS,346,30.0,2,16.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",52 µbar,72 °C,,9.663 V,9.5226 kV,84 µbar,Carbon Dioxide: 0.0226 kV,"1,229 µbar",8.916 V,10.773 V,650 µbar/min,14.012 V,8.94E-008 mbar,27 %,929 µbar,µ-Volume,,Pre,8.759367357880073,9.505356561766522,9.585986668091568,12.500629308049838,12.797758462255159,8.980491546842734,-1.93255633931122,-3.4746522648340106,-1.9666821256703937,0.016142152801109748,0.004167885931375564,-3.5064461973196153,0.017217293378096715,0.004304323344524179,-1.971648774004368,0.016352018335838187,-3.508565792818656,0.015511017858098056,Natan Pereira BTS coral series 10.xlsx,2026-02-26 06:20:58.366,739673.0,650.0,1229.0,84.0,929.0,8.483791614458179,BTS,,346,OK,16.0,15.0,15.0,0.0,0.0,8.54379225888868,-0.06000064443050057,-0.05882377093505929
31.0,GIRMS\IRMS-operator,2026-02-26 06:59:44.443,2026-02-26 08:07:14.555,Running,False,SHP2L,,31.0,1,17.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",67 µbar,72 °C,,8.297 V,9.5228 kV,81 µbar,Carbon Dioxide: 0.0228 kV,"1,290 µbar",7.640 V,9.237 V,889 µbar/min,8.738 V,8.18E-008 mbar,32 %,953 µbar,µ-Volume,,Pre,7.503906132157548,8.152400750519668,8.236905235649976,10.680362582206726,10.995492339134216,7.715472617022272,-0.895853289882953,-6.185127325517681,-0.9162280497545824,0.019163536004597432,0.004948003720016805,-6.172965773993503,0.016466537442537194,0.004251641685643162,-0.9211856548269651,0.022791638935972306,-6.169419869750494,0.019166128622870975,Natan Pereira BTS coral series 10.xlsx,2026-02-26 06:59:44.443,739673.0,889.0,1290.0,81.0,953.0,7.266001827353622,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,7.352681882018235,-0.0866800546646127,-0.08457198757148116
32.0,GIRMS\IRMS-operator,2026-02-26 07:35:09.782,2026-02-26 08:44:20.981,Running,False,BTS,342,32.0,2,17.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",57 µbar,73 °C,,15.007 V,9.5227 kV,81 µbar,Carbon Dioxide: 0.0227 kV,"1,178 µbar",14.303 V,17.156 V,591 µbar/min,7.495 V,1.23E-007 mbar,12 %,990 µbar,µ-Volume,,Pre,14.111694732561867,15.304827359864232,15.407675174424169,20.12975268130346,20.578739569235278,14.4431859644802,-1.9290418223659733,-3.762240709399678,-2.0475304649275086,0.03897051279554631,0.010062143136687593,-3.785423055918523,0.018818046253774073,0.004704511563443518,-2.0475304649275086,0.038970512795546176,-3.7869685456864457,0.0183974643102884,Natan Pereira BTS coral series 10.xlsx,2026-02-26 07:35:09.782,739673.0,591.0,1178.0,81.0,990.0,13.606098333254614,BTS,,342,OK,16.0,15.0,15.0,0.0,0.0,13.645094672098917,-0.03899633884430287,-0.038391804189258485
33.0,GIRMS\IRMS-operator,2026-02-26 08:07:14.708,2026-02-26 09:22:37.204,Running,False,BTS,364,33.0,1,18.0,True,Unknown,,"0.001 V, 0.001 V, 0.001 V",67 µbar,73 °C,,13.543 V,9.5230 kV,81 µbar,Carbon Dioxide: 0.0230 kV,"1,263 µbar",13.381 V,15.485 V,718 µbar/min,3.328 V,1.17E-007 mbar,16 %,"1,007 µbar",µ-Volume,,Pre,13.037347936807711,14.135967281482529,14.36435737910063,18.598075299685053,19.18334820789581,13.463461542306979,-2.290064528784219,-3.750461316583742,-2.390492032493537,0.03684578462311903,0.009513540681552354,-3.797434786776573,0.01318647116339755,0.0034047322140722037,-2.3904920324935377,0.03684578462311891,-3.7974347867765723,0.013186471163397594,Natan Pereira BTS coral series 10.xlsx,2026-02-26 08:07:14.708,739673.0,718.0,1263.0,81.0,1007.0,12.560913109956818,BTS,,364,OK,16.0,15.0,15.0,0.0,0.0,12.730935359178622,-0.17002224922180353,-0.16562438929184034
34.0,GIRMS\IRMS-operator,2026-02-26 08:44:21.165,2026-02-26 09:57:44.865,Running,False,BTS,335,34.0,2,18.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",54 µbar,73 °C,,6.102 V,9.5226 kV,86 µbar,Carbon Dioxide: 0.0226 kV,"1,214 µbar",5.653 V,6.693 V,601 µbar/min,12.967 V,6.92E-008 mbar,46 %,875 µbar,µ-Volume,,Pre,5.635101822196398,6.1123312832534005,6.085702933594768,8.042539330474652,8.123050227623834,5.699632775523206,-2.675142882834325,-3.469486716934589,-2.6421880268791065,0.02213576403085677,0.005533941007714193,-3.442062159825017,0.0122765105201376,0.0032810354479629183,-2.639991036482092,0.02102966731845547,-3.4401678202225243,0.01935022403126124,Natan Pereira BTS coral series 10.xlsx,2026-02-26 08:44:21.165,739673.0,601.0,1214.0,86.0,875.0,5.472137181490144,BTS,,335,OK,16.0,15.0,15.0,0.0,0.0,5.448897089496749,0.023240091993394607,0.023043256163539562
35.0,GIRMS\IRMS-operator,2026-02-26 09:22:37.338,2026-02-26 10:29:31.214,Running,False,BTS,363,35.0,1,19.0,True,Unknown,,"0.002 V, 0.002 V, 0.002 V",71 µbar,72 °C,,13.863 V,9.5228 kV,84 µbar,Carbon Dioxide: 0.0228 kV,"1,288 µbar",13.424 V,15.847 V,777 µbar/min,5.583 V,1.18E-007 mbar,15 %,"1,012 µbar",µ-Volume,,Pre,13.209427985862918,14.324802528270581,14.448079834827286,18.84158769145073,19.29513433470787,13.542112818731226,-2.1333061703303624,-3.8402135984781927,-2.2010022268245404,0.03457825953574727,0.008928068221519132,-3.8748596760381084,0.01810398767339683,0.0045259969183492075,-2.1994265497324563,0.03822917496705084,-3.877169414542103,0.016115523739410963,Natan Pereira BTS coral series 10.xlsx,2026-02-26 09:22:37.338,739673.0,777.0,1288.0,84.0,1012.0,12.727837357238956,BTS,,363,OK,16.0,15.0,15.0,0.0,0.0,12.805129680351445,-0.07729232311248957,-0.07585157991318472
36.0,GIRMS\IRMS-operator,2026-02-26 09:57:45.049,2026-02-26 11:09:05.543,Running,False,SHP2L,,36.0,2,19.0,True,QC Standard,SHP2L,"0.002 V, 0.002 V, 0.002 V",54 µbar,72 °C,,6.423 V,9.5226 kV,79 µbar,Carbon Dioxide: 0.0226 kV,"1,168 µbar",5.950 V,7.067 V,513 µbar/min,12.971 V,6.65E-008 mbar,41 %,880 µbar,µ-Volume,,Pre,5.929098011832933,6.442896271603684,6.4250082722047095,8.440253668855387,8.576167160104472,6.017664296470358,-0.7724572666175655,-6.04339641358298,-0.7995899638612978,0.013875646428116969,0.0037084224967162366,-6.057383878329874,0.025837935393363872,0.006459483848340968,-0.8008387348418466,0.022231927943687484,-6.0583163759796665,0.026464654504810847,Natan Pereira BTS coral series 10.xlsx,2026-02-26 09:57:45.049,739673.0,513.0,1168.0,79.0,880.0,5.755091185482802,SHP2L,,,OK,16.0,15.0,15.0,0.0,0.0,5.750197646855333,0.004893538627468885,0.004835596913630428
